  22   3 1.81+00
  23   3 2.38+01
  24   3 1.91-01
  25   3 7.09+01
  26   3 2.51-01
  27   3 1.85+01
  28   3 1.47+00
  29   3 8.44-05
  30   3 7.79-01
  31   3 1.03+01
  32   3 4.12+05
  33   3 4.12-06
  34   3 3.28+06
  35   3 4.17+06
  36   3 1.03+06
  37   3 9.28+06
  38   3 1.77-03
  39   3 3.34-01
  40   3 2.10-11
  41   3 3.05-01
  42   3 3.40+00
  43   3 1.20+06
  44   3 4.31+06
  45   3 2.11+06
  46   3 1.24+01
  47   3 2.41+06
  48   3 1.33+01
  49   3 3.75+01
  50   3 3.56+04
  51   3 3.82+04
  52   3 4.12-17
  53   3 3.30-05
  54   3 1.53-05
  55   3 1.14+04
  56   3 2.27-05
  57   3 4.09-06
   5   4 6.82-03
   6   4 1.05+06
   7   4 2.18-09
   8   4 1.21-05
   9   4 1.97+06
  10   4 6.49-07
  11   4 1.00-30
  12   4 2.40+07
  13   4 1.09-06
  14   4 1.33+07
  15   4 1.00-30
  16   4 1.00-30
  17   4 1.23-03
  18   4 3.97+00
  19   4 2.54-14
  20   4 1.00-30
  21   4 8.17+00
  22   4 1.33-01
  23   4 1.00-30
  24   4 2.98-04
  25   4 3.94-07
  26   4 4.03+01
  27   4 1.00-30
  28   4 2.74+01
  29   4 1.00-30
  30   4 6.11-04
  31   4 1.22-03
  32   4 1.56+04
  33   4 2.25-09
  34   4 1.54-05
  35   4 1.92+03
  36   4 2.03-06
  37   4 1.00-30
  38   4 1.00-30
  39   4 8.35-05
  40   4 1.56-14
  41   4 1.67+00
  42   4 1.00-30
  43   4 6.04+06
  44   4 1.21-07
  45   4 3.79+06
  46   4 4.23-01
  47   4 1.00-30
  48   4 1.00-30
  49   4 7.92-07
  50   4 6.37+04
  51   4 1.13-07
  52   4 3.78-19
  53   4 1.00-30
  54   4 2.80-07
  55   4 1.63-07
  56   4 1.59-07
  57   4 1.00-30
   6   5 7.84+04
   7   5 9.14-06
   8   5 1.78+06
   9   5 1.93+06
  10   5 4.61+06
  11   5 1.21+03
  12   5 1.24+07
  13   5 2.29+07
  14   5 1.70+07
  15   5 5.43+07
  16   5 1.91-03
  17   5 1.06-01
  18   5 6.93-02
  19   5 7.40-11
  20   5 1.13+00
  21   5 1.38+00
  22   5 4.82-02
  23   5 1.90+01
  24   5 3.13-01
  25   5 1.43+01
  26   5 3.56+01
  27   5 5.44+01
  28   5 4.00+01
  29   5 8.80-04
  30   5 9.23+00
  31   5 6.66+01
  32   5 5.18+04
  33   5 4.99-06
  34   5 5.04+04
  35   5 1.13+05
  36   5 7.55+03
  37   5 2.21+06
  38   5 1.53-04
  39   5 2.01+00
  40   5 4.21-13
  41   5 1.41+00
  42   5 4.60-01
  43   5 1.18+06
  44   5 2.94+06
  45   5 2.00+06
  46   5 5.67-01
  47   5 8.91+06
  48   5 2.11-03
  49   5 2.10+00
  50   5 8.96+03
  51   5 1.25+04
  52   5 3.29-16
  53   5 4.52-05
  54   5 1.58-05
  55   5 1.67+03
  56   5 3.19-05
  57   5 1.14-05
   7   6 8.71-05
   8   6 1.43-04
   9   6 6.51-04
  10   6 2.91-03
  11   6 5.43-02
  12   6 4.87-03
  13   6 8.49-03
  14   6 6.07-02
  15   6 5.07-02
  16   6 8.35+06
  17   6 7.45+06
  18   6 4.96+06
  19   6 1.78-07
  20   6 3.83-07
  21   6 1.36+03
  22   6 8.70+06
  23   6 3.74-06
  24   6 3.12+06
  25   6 6.75+04
  26   6 6.83+02
  27   6 4.32-06
  28   6 9.86+02
  29   6 4.51+06
  30   6 2.67+06
  31   6 2.21+04
